,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,EMA_200,EMA_50,EMA50,EMA200,RSI,CCI,MACD,Signal,DIplus,DIminus,ADX,MFI,BBr,cumdelta_rsi,ROC,stoch_rsi_k,stoch_rsi_d,ParabolicSAR_Signal,cross,result
14,14,1660937700,1.00388,1.00394,1.00364,1.00385,1988,8,596400000,1.00638,1.00459,1.00459,1.00638,45.51617,-35.15929,-0.0002869,-0.0002966,9.8343,16.35173,35.20194,49.36017,0.44902,41.5913,-0.07466,45.30621,32.71324,1,1,loss
36,36,1660944300,1.0041,1.00434,1.00401,1.0041,1718,8,515400000,1.0059,1.00421,1.00421,1.0059,52.4232,55.35125,-3.53e-05,-4.8e-05,28.58701,20.98969,17.98053,38.47245,0.61488,49.9962,0.00299,60.13992,34.68195,0,1,loss
50,50,1660948500,1.00358,1.00373,1.00354,1.00367,1524,8,457200000,1.0056,1.00395,1.00395,1.0056,48.45818,-19.80691,-0.0001085,-0.0001151,20.28789,15.68658,14.64964,49.67025,0.48444,55.18008,-0.01395,42.98906,42.06165,1,1,loss
71,71,1661127600,1.00401,1.00401,1.00401,1.00401,168,42,50400000,1.00529,1.00396,1.00396,1.00529,54.40984,37.73938,4.17e-05,4.12e-05,14.59248,16.36048,23.1222,17.75765,0.54836,58.32575,-0.00398,57.84172,45.32469,1,1,loss
87,87,1661132400,1.00362,1.00392,1.00356,1.00382,1221,23,366300000,1.00506,1.00384,1.00384,1.00506,51.38672,-2.60643,-5.72e-05,-6e-05,17.08593,19.45802,14.90721,49.49271,0.55033,46.04164,0.0,89.25847,76.55277,0,1,loss
120,120,1661142300,1.00246,1.00294,1.00237,1.00291,1928,19,578400000,1.00448,1.00316,1.00316,1.00448,50.34138,-21.07791,-0.0002236,-0.0002366,16.30811,14.52096,27.59009,44.93685,0.55903,55.64558,0.03092,56.24564,35.4966,0,1,win
205,205,1661167800,1.00023,1.00085,1.00011,1.00031,2643,8,792900000,1.0034,1.00185,1.00185,1.0034,39.16686,-38.60233,-0.0007011,-0.0007193,12.88855,24.07135,60.971,22.32928,0.39144,38.4881,-0.09887,87.94872,75.12834,0,1,win
235,235,1661176800,1.00096,1.00131,1.00091,1.00124,2190,8,657000000,1.00275,1.00117,1.00117,1.00275,55.35381,81.12338,-3.47e-05,-6.8e-05,28.21728,13.34422,16.78412,57.61682,0.8347,60.99729,0.06696,63.60832,41.61223,1,1,loss
251,251,1661181600,0.99994,1.00045,0.99985,1.00016,2611,8,783300000,1.00236,1.00066,1.00066,1.00236,46.91562,-21.36303,-0.000221,-0.0002329,17.22747,20.54674,24.53,37.44945,0.44385,53.81534,-0.003,66.02491,48.75532,0,1,loss
297,297,1661195400,0.99364,0.99379,0.99348,0.9937,1973,8,591900000,1.00033,0.9967,0.9967,1.00033,33.56126,-64.27718,-0.0011764,-0.0012085,9.60338,18.51178,52.58813,40.86291,0.34603,42.91939,-0.20387,89.50556,79.73128,0,1,win
