,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,EMA_200,EMA_50,EMA50,EMA200,RSI,CCI,MACD,Signal,DIplus,DIminus,ADX,MFI,BBr,cumdelta_rsi,ROC,stoch_rsi_k,stoch_rsi_d,ParabolicSAR_Signal,cross,result
8,8,1660935900,1.00392,1.00397,1.00359,1.00365,2256,8,676800000,1.00655,1.00485,1.00485,1.00655,39.21963,-104.95164,-0.0002662,-0.0002646,8.62679,19.81635,25.86792,35.64528,0.30605,37.00981,-0.01494,38.94471,48.97915,1,2,loss
33,33,1660943400,1.00381,1.00386,1.00348,1.00348,1818,8,545400000,1.00596,1.00424,1.00424,1.00596,39.94764,-88.11626,-5.77e-05,-4.31e-05,18.11205,31.62868,19.78165,47.13588,0.16078,39.60313,-0.07966,16.59548,47.04923,1,2,loss
40,40,1660945500,1.00389,1.00392,1.00368,1.0037,1523,8,456900000,1.00582,1.00417,1.00417,1.00582,45.26033,-82.54176,-3.85e-05,-3.2e-05,19.98543,23.08954,14.72886,47.25874,0.25431,48.1072,-0.05775,40.39638,59.33309,0,2,loss
66,66,1660953300,1.00385,1.00405,1.00362,1.00389,1168,13,350400000,1.00536,1.00396,1.00396,1.00536,49.92659,-11.70546,4.21e-05,4.65e-05,7.3876,21.92228,24.3875,51.22348,0.5083,56.51331,-0.00598,19.91743,30.63129,0,2,win
73,73,1661128200,1.00401,1.00402,1.00384,1.0039,303,40,90900000,1.00526,1.00396,1.00396,1.00526,48.8538,-41.58416,3.39e-05,3.99e-05,22.51613,24.88113,21.42832,10.66489,0.40065,57.02242,-0.01494,48.99198,58.13741,1,2,win
89,89,1661133000,1.00377,1.00379,1.00342,1.00344,1126,23,337800000,1.00503,1.00382,1.00382,1.00503,42.62827,-84.97879,-6.62e-05,-5.93e-05,12.83343,23.98451,15.98533,51.73589,0.18303,38.37617,-0.03786,86.26129,88.75008,0,2,loss
148,148,1661150700,1.00403,1.00412,1.00387,1.00391,1418,19,425400000,1.00423,1.00345,1.00345,1.00423,56.01101,37.50194,0.0002897,0.0002969,11.06889,13.94282,21.38042,53.22007,0.57529,50.91746,0.08674,30.6363,32.96536,0,2,win
230,230,1661175300,1.00062,1.00071,1.00035,1.00047,2013,8,603900000,1.00285,1.00125,1.00125,1.00285,43.51871,-106.29297,-5.69e-05,-5.66e-05,16.98005,24.68132,15.12119,50.67542,0.20745,50.52264,0.011,47.10775,63.41231,0,2,loss
239,239,1661178000,1.00051,1.00054,1.00011,1.00019,2144,8,643200000,1.00266,1.00109,1.00109,1.00266,40.38987,-151.01526,-9.59e-05,-5.99e-05,17.03204,29.4099,18.21881,43.23018,0.02263,44.85947,-0.08491,18.0464,43.7322,1,2,loss
266,266,1661186100,0.99996,1.00006,0.9995,0.99964,2822,8,846600000,1.00204,1.0004,1.0004,1.00204,42.52634,-132.58055,-9.68e-05,-9.63e-05,14.11501,24.21027,15.33079,35.06135,0.14129,39.00484,-0.031,46.85422,59.42563,1,2,win
351,351,1661211600,0.99435,0.99437,0.99417,0.99419,817,23,245100000,0.99759,0.99422,0.99422,0.99759,53.08006,22.5902,0.0001635,0.0001644,12.81896,15.06819,35.41823,60.70974,0.5028,53.04362,0.05132,64.6849,66.25032,0,2,loss
379,379,1661220000,0.99421,0.99422,0.99415,0.99415,433,23,129900000,0.99675,0.99418,0.99418,0.99675,49.76019,-6.88441,2.85e-05,2.86e-05,16.30084,16.918,28.87051,45.28558,0.41456,53.21533,-0.00402,58.20854,64.17062,1,2,loss
411,411,1661229600,0.99407,0.99414,0.99375,0.99378,1534,19,460200000,0.99597,0.99405,0.99405,0.99597,43.77695,-47.7896,7.31e-05,0.0001084,10.54668,30.03603,25.60308,31.60899,0.32959,35.83161,-0.06737,9.22721,24.61163,1,2,loss
438,438,1661237700,0.99414,0.99426,0.9941,0.9941,748,19,224400000,0.99553,0.9941,0.9941,0.99553,48.74626,-0.07483,5.82e-05,6.96e-05,12.1418,21.6524,18.51895,51.10055,0.44474,45.55094,-0.02916,20.0067,42.45222,1,2,win
498,498,1661255700,0.9929,0.99329,0.9927,0.99316,1980,8,594000000,0.99417,0.99271,0.99271,0.99417,53.65327,0.74794,0.0003339,0.000348,12.79221,18.80887,16.75483,42.76468,0.5285,53.82038,-0.01007,8.38035,18.72857,1,2,loss
502,502,1661256900,0.99357,0.99366,0.99283,0.99289,1799,8,539700000,0.99414,0.99282,0.99282,0.99414,49.5257,-55.53592,0.0002938,0.0003366,15.25702,22.9559,16.10019,51.47514,0.41411,51.87656,-0.0453,47.95296,53.41191,1,2,loss
535,535,1661266800,0.99239,0.99272,0.99206,0.99209,2381,8,714300000,0.99364,0.99249,0.99249,0.99364,45.3024,-47.37209,-1.4e-05,-1.18e-05,19.02062,11.59558,22.39236,47.96663,0.22159,50.57567,-0.01008,42.84151,57.22527,0,2,loss
538,538,1661267700,0.99263,0.99283,0.99217,0.99217,1979,8,593700000,0.99361,0.99249,0.99249,0.99361,46.42855,-40.67822,-1.08e-05,-5.5e-06,18.6693,11.38667,25.13774,55.33894,0.21546,52.32709,-0.03929,49.38764,42.43916,0,2,loss
565,565,1661275800,0.99794,0.99858,0.99767,0.99808,2701,8,810300000,0.9941,0.99504,0.99504,0.9941,58.69005,38.10176,0.001611,0.00162,18.1465,21.44271,45.20834,64.10315,0.60779,56.57739,0.32266,7.91552,18.77037,1,2,loss
596,596,1661285100,0.99795,0.99798,0.9974,0.9975,1788,8,536400000,0.99513,0.99704,0.99704,0.99513,48.68693,6.51466,2e-07,9e-06,19.38045,17.08921,17.88947,55.442,0.48339,44.48907,0.04413,85.90551,89.88061,0,2,win
651,651,1661301600,0.99681,0.99689,0.99681,0.99687,206,23,61800000,0.99576,0.99671,0.99671,0.99576,54.46558,35.48593,8.01e-05,8.1e-05,9.45833,21.48871,19.46493,42.71277,0.5716,52.25275,0.00702,39.0913,48.49866,0,2,win
658,658,1661303700,0.99695,0.99696,0.9968,0.99685,426,23,127800000,0.99583,0.99676,0.99676,0.99583,51.29032,6.69216,6.74e-05,7.4e-05,20.41732,24.0036,16.89776,48.81311,0.47992,52.68436,-0.00702,58.91717,69.67876,0,2,win
669,669,1661307000,0.99714,0.99715,0.99688,0.99689,520,23,156000000,0.99595,0.99683,0.99683,0.99595,49.51519,34.10553,6.41e-05,6.47e-05,13.03204,17.20786,11.08919,40.09637,0.413,47.32006,-0.00602,42.5734,58.65942,0,2,win
746,746,1661330100,0.99566,0.99568,0.9953,0.99533,815,8,244500000,0.99557,0.9953,0.9953,0.99557,50.1648,16.39189,0.0001795,0.0001916,22.9093,21.16664,41.68239,64.39018,0.48592,51.40379,-0.00201,6.44267,16.72019,1,2,win
777,777,1661339400,0.99504,0.99516,0.99467,0.99472,1562,8,468600000,0.99536,0.99498,0.99498,0.99536,46.49136,-18.86992,6.79e-05,8.3e-05,19.10317,19.33196,23.47592,35.60905,0.39352,46.49843,-0.04221,2.28033,12.45239,0,2,loss
797,797,1661345400,0.99493,0.99496,0.99449,0.99465,1588,8,476400000,0.99527,0.99494,0.99494,0.99527,45.31679,-54.95515,1.83e-05,3e-05,18.95254,22.52171,26.06116,58.15206,0.30661,50.24024,-0.01106,34.41583,46.76487,0,2,win
831,831,1661355600,0.99246,0.99252,0.99154,0.9919,2513,8,753900000,0.99466,0.99354,0.99354,0.99466,38.39603,-217.38513,-0.000239,-0.0001988,16.34156,28.12901,14.26736,49.90201,-0.03629,40.86772,-0.10575,32.28433,41.45888,1,2,loss
841,841,1661358600,0.99226,0.99243,0.99164,0.99167,2550,8,765000000,0.99444,0.99316,0.99316,0.99444,39.06929,-141.27812,-0.0002972,-0.0002558,12.69607,22.41788,14.20125,43.50249,0.05249,45.30152,-0.18219,34.8719,42.07131,1,2,loss
846,846,1661360100,0.99254,0.99273,0.99167,0.99168,2387,8,716100000,0.99433,0.99298,0.99298,0.99433,41.1466,-98.4003,-0.0002771,-0.000266,13.55028,14.53036,14.99103,49.56782,0.15919,48.70113,-0.1108,64.36699,69.01826,1,2,loss
